xd
  nodecount               Lag         New
-----------  ----------------  ----------
          5      75.6399       75.6399
          6      83.2037       83.2037
          7      82.3374       82.3374
          8      55.8558       55.8558
          9      83.5142       83.5142
         10      72.807        72.807
         11      77.9555       77.9555
         12      89.4368       89.4368
         13      78.9565       78.9565
         14      79.4446       79.4446
         15      82.7452       82.7452
         16      91.9617       91.9617
         17      72.9265       72.9265
         18      86.2533       86.2533
         19      80.0718       80.0718
         20      97.771        97.771
         21      61.8925       61.8925
         22      77.3814       77.3814
         23      36.4904       36.4904
         24      43.5823       43.5823
         25      16.634        16.634
         26      18.4172       18.4172
         27       5.95771       5.9577
         28       6.09923       6.09923
         29       1.73022       1.73022
         30       1.63559       1.63559
         31       0.617173      0.418163
         32       0.629792      0.364093
         33       2.18695       0.0860674
         34      15.0533        0.0686387
         35      42.407         0.0185779
         36      10.9485        0.0112074
         37      95.0602        0.0153689
         38    1179.85          0.0227156
         39    1095.74          0.0412067
         40   20967.6           0.0975513
         41   10024.5           0.0497263
         42   10963             0.121919
         43  191970             0.0866837
         44       1.23413e+06   0.344479
         45  637517             0.330679
         46       1.1173e+06    0.519449
         47       1.39518e+07   0.742134
         48       9.47449e+07   0.570064
         49       2.91055e+08   1.35102
          0       0             0
